file,class,method,variable,usage
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-commons\zlt-log-spring-boot-starter\src\main\java\com\central\log\monitor\PointUtil.java,com.central.log.monitor.PointUtil,id/1[java.lang.Object],pointEntry,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-commons\zlt-log-spring-boot-starter\src\main\java\com\central\log\monitor\PointUtil.java,com.central.log.monitor.PointUtil,getPropertiesStr/0,PROPERTIES_VALUE_SPLIT,2
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-commons\zlt-log-spring-boot-starter\src\main\java\com\central\log\monitor\PointUtil.java,com.central.log.monitor.PointUtil,getPropertiesStr/0,PROPERTIES_SPLIT,2
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-commons\zlt-log-spring-boot-starter\src\main\java\com\central\log\monitor\PointUtil.java,com.central.log.monitor.PointUtil,getPropertiesStr/0,pointEntry,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-commons\zlt-log-spring-boot-starter\src\main\java\com\central\log\monitor\PointUtil.java,com.central.log.monitor.PointUtil,PointUtil/0,pointEntry,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-commons\zlt-log-spring-boot-starter\src\main\java\com\central\log\monitor\PointUtil.java,com.central.log.monitor.PointUtil,"info/3[java.lang.String,java.lang.String,java.lang.String]",MSG_PATTERN,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-commons\zlt-log-spring-boot-starter\src\main\java\com\central\log\monitor\PointUtil.java,com.central.log.monitor.PointUtil,"debug/3[java.lang.String,java.lang.String,java.lang.String]",MSG_PATTERN,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-commons\zlt-log-spring-boot-starter\src\main\java\com\central\log\monitor\PointUtil.java,com.central.log.monitor.PointUtil,properties/1[java.lang.Object],pointEntry,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-commons\zlt-log-spring-boot-starter\src\main\java\com\central\log\monitor\PointUtil.java,com.central.log.monitor.PointUtil,type/1[java.lang.String],pointEntry,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-commons\zlt-log-spring-boot-starter\src\main\java\com\central\log\monitor\PointUtil.java,com.central.log.monitor.PointUtil,build/0,pointEntry,2
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-commons\zlt-log-spring-boot-starter\src\main\java\com\central\log\trace\WebTraceFilter.java,com.central.log.trace.WebTraceFilter,shouldNotFilter/1[com.central.log.trace.HttpServletRequest],traceProperties,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-demo\rocketmq-demo\rocketmq-produce\src\main\java\com\rocketmq\demo\service\SenderService.java,com.rocketmq.demo.service.SenderService,send/1[java.lang.String],source,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-demo\rocketmq-demo\rocketmq-produce\src\main\java\com\rocketmq\demo\service\SenderService.java,com.rocketmq.demo.service.SenderService,"sendWithTags/2[T,java.lang.String]",source,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-gateway\sc-gateway\src\main\java\com\central\gateway\swagger\SwaggerHandler.java,com.central.gateway.swagger.SwaggerHandler,SwaggerHandler/1[com.central.gateway.swagger.SwaggerResourcesProvider],swaggerResources,3
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-gateway\sc-gateway\src\main\java\com\central\gateway\swagger\SwaggerHandler.java,com.central.gateway.swagger.SwaggerHandler,uiConfiguration/0,uiConfiguration,2
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-gateway\sc-gateway\src\main\java\com\central\gateway\swagger\SwaggerHandler.java,com.central.gateway.swagger.SwaggerHandler,securityConfiguration/0,securityConfiguration,2
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-gateway\sc-gateway\src\main\java\com\central\gateway\swagger\SwaggerHandler.java,com.central.gateway.swagger.SwaggerHandler,swaggerResources/0,swaggerResources,2
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-commons\zlt-common-core\src\main\java\com\central\common\model\CodeEnum.java,com.central.common.model.CodeEnum,getCode/0,code,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-commons\zlt-common-core\src\main\java\com\central\common\model\CodeEnum.java,com.central.common.model.CodeEnum,CodeEnum/1[java.lang.Integer],code,3
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-demo\txlcn-demo\txlcn-demo-spring-service-b\src\main\java\org\txlcn\demo\serviceb\DemoServiceImpl.java,org.txlcn.demo.serviceb.DemoServiceImpl,rpc/1[java.lang.String],demoMapper,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-demo\seata-demo\storage-service\src\main\java\com\central\storage\service\StorageService.java,com.central.storage.service.StorageService,"deduct/2[java.lang.String,int]",storageMapper,2
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-demo\sso-demo\ss-sso\src\main\java\com\sso\demo\config\SecurityConfig.java,com.sso.demo.config.SecurityConfig,configure/1[com.sso.demo.config.HttpSecurity],ssoLogoutSuccessHandler,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-demo\sso-demo\ss-sso\src\main\java\com\sso\demo\config\SecurityConfig.java,com.sso.demo.config.SecurityConfig,configure/1[com.sso.demo.config.HttpSecurity],loginPath,2
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-uaa\src\main\java\com\central\oauth\filter\OauthTokenAspect.java,com.central.oauth.filter.OauthTokenAspect,handleControllerMethod/1[com.central.oauth.filter.ProceedingJoinPoint],decryptParamHandler,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-commons\zlt-common-core\src\main\java\com\central\common\context\LoginUserContextHolder.java,com.central.common.context.LoginUserContextHolder,setUser/1[com.central.common.model.SysUser],CONTEXT,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-commons\zlt-common-core\src\main\java\com\central\common\context\LoginUserContextHolder.java,com.central.common.context.LoginUserContextHolder,getUser/0,CONTEXT,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-commons\zlt-common-core\src\main\java\com\central\common\context\LoginUserContextHolder.java,com.central.common.context.LoginUserContextHolder,clear/0,CONTEXT,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-business\file-center\src\main\java\com\central\file\service\impl\S3Service.java,com.central.file.service.impl.S3Service,deleteFile/1[java.lang.String],s3Template,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-business\file-center\src\main\java\com\central\file\service\impl\S3Service.java,com.central.file.service.impl.S3Service,"out/2[java.lang.String,java.io.OutputStream]",s3Template,1
