file,class,method,variable,usage
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-demo\seata-demo\order-service\src\main\java\com\central\order\controller\OrderController.java,com.central.order.controller.OrderController,"create/3[java.lang.String,java.lang.String,java.lang.Integer]",commodityCode,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-demo\seata-demo\order-service\src\main\java\com\central\order\controller\OrderController.java,com.central.order.controller.OrderController,"create/3[java.lang.String,java.lang.String,java.lang.Integer]",count,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-demo\seata-demo\order-service\src\main\java\com\central\order\controller\OrderController.java,com.central.order.controller.OrderController,"create/3[java.lang.String,java.lang.String,java.lang.Integer]",userId,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-commons\zlt-db-spring-boot-starter\src\main\java\com\central\db\config\TenantAutoConfigure.java,com.central.db.config.TenantAutoConfigure$Anonymous1,getTenantId/0,tenant,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-commons\zlt-db-spring-boot-starter\src\main\java\com\central\db\config\TenantAutoConfigure.java,com.central.db.config.TenantAutoConfigure$Anonymous1,ignoreTable/1[java.lang.String],e,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-commons\zlt-db-spring-boot-starter\src\main\java\com\central\db\config\TenantAutoConfigure.java,com.central.db.config.TenantAutoConfigure$Anonymous1,ignoreTable/1[java.lang.String],tableName,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-uaa\src\main\java\com\central\UaaServerApp.java,com.central.UaaServerApp,main/1[java.lang.String[]],args,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-uaa\src\main\java\com\central\UaaServerApp.java,com.central.UaaServerApp,main/1[java.lang.String[]],application,2
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-business\user-center\src\main\java\com\central\user\service\ISysRoleService.java,com.central.user.service.ISysRoleService,deleteRole/1[java.lang.Long],id,0
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-business\user-center\src\main\java\com\central\user\service\ISysRoleService.java,com.central.user.service.ISysRoleService,"findRoles/1[java.util.Map<java.lang.String,java.lang.Object>]",params,0
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-business\user-center\src\main\java\com\central\user\service\ISysRoleService.java,com.central.user.service.ISysRoleService,saveRole/1[com.central.common.model.SysRole],sysRole,0
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-business\user-center\src\main\java\com\central\user\service\ISysRoleService.java,com.central.user.service.ISysRoleService,saveOrUpdateRole/1[com.central.common.model.SysRole],sysRole,0
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-uaa\src\main\java\com\central\oauth\service\impl\RedisTokensServiceImpl.java,com.central.oauth.service.impl.RedisTokensServiceImpl,"getRedisKey/2[java.util.Map<java.lang.String,java.lang.Object>,java.lang.String]",result,3
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-uaa\src\main\java\com\central\oauth\service\impl\RedisTokensServiceImpl.java,com.central.oauth.service.impl.RedisTokensServiceImpl,"getRedisKey/2[java.util.Map<java.lang.String,java.lang.Object>,java.lang.String]",clientId,2
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-uaa\src\main\java\com\central\oauth\service\impl\RedisTokensServiceImpl.java,com.central.oauth.service.impl.RedisTokensServiceImpl,"getRedisKey/2[java.util.Map<java.lang.String,java.lang.Object>,java.lang.String]",params,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-uaa\src\main\java\com\central\oauth\service\impl\RedisTokensServiceImpl.java,com.central.oauth.service.impl.RedisTokensServiceImpl,"getRedisKey/2[java.util.Map<java.lang.String,java.lang.Object>,java.lang.String]",username,2
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-uaa\src\main\java\com\central\oauth\service\impl\RedisTokensServiceImpl.java,com.central.oauth.service.impl.RedisTokensServiceImpl,"listTokens/2[java.util.Map<java.lang.String,java.lang.Object>,java.lang.String]",request,2
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-uaa\src\main\java\com\central\oauth\service\impl\RedisTokensServiceImpl.java,com.central.oauth.service.impl.RedisTokensServiceImpl,"listTokens/2[java.util.Map<java.lang.String,java.lang.Object>,java.lang.String]",additionalInformation,1
